ID,Title,Episodes,Synopsis,Score,Day_aired,Duration,Genres,Tags,Main Role,Support Role,Url
705857,Under the Queen's Umbrella (2022), 16,"Within the palace exist troublemaking princes who cause nothing but headaches for the royal family and are about to be turned into proper crown princes. Their mother, Im Hwa Ryeong,  is the wife of a great king. But instead of having an aura of elegance and grace, she is a prickly, sensitive, and hot-tempered queen. Once more serene, she changed since people kept pushing her buttons.  She is a queen who sometimes abandons her pride"," 9.0 (scored by 12,906 users)",, 1 hr. 10 min.,"Historical,Comedy,Drama,Political","Motherhood,Mother-SonRelationship,PalaceSetting,Royalty,BlackComedy,QueenFemaleLead,JoseonDynasty,RoyalFamily,HistoricalFiction,PrinceSupportingCharacter","Kim Hye Soo,Kim Hae Sook,Choi Won Young,Kim Eui Sung,Moon Sang Min,Ok Ja Yeon,",,https://mydramalist.com//705857-umbrella
705857,Under the Queen's Umbrella (2022), 16,"Within the palace exist troublemaking princes who cause nothing but headaches for the royal family and are about to be turned into proper crown princes. Their mother, Im Hwa Ryeong,  is the wife of a great king. But instead of having an aura of elegance and grace, she is a prickly, sensitive, and hot-tempered queen. Once more serene, she changed since people kept pushing her buttons.  She is a queen who sometimes abandons her pride"," 9.0 (scored by 12,906 users)",, 1 hr. 10 min.,"Historical,Comedy,Drama,Political","Motherhood,Mother-SonRelationship,PalaceSetting,Royalty,BlackComedy,QueenFemaleLead,JoseonDynasty,RoyalFamily,HistoricalFiction,PrinceSupportingCharacter","Kim Hye Soo,Kim Hae Sook,Choi Won Young,Kim Eui Sung,Moon Sang Min,Ok Ja Yeon,",,https://mydramalist.com/705857-umbrella
745581,The Glory Part 2 (2023), 8,"Moon Dong Eun's silent fury against those students that horrifically abused her during her high school years continues to burn inside of her. She meticulously executes her plan to inflict ultimate pain on her tormentors. Meanwhile, the sudden disappearance of Son Myeong Oh has gotten the attention of the police and his friends. Joo Yeo Jeong follows Moon Dong Eun and is willing to do anything she asks in her pursuit of"," 9.0 (scored by 39,661 users)",, 55 min.,"Thriller,Drama,Melodrama","Revenge,GraphicViolence,BriefNudity,Suspense,StrongFemaleLead,DomesticViolence,Trauma,FamilyAbuse,Perpetrator-VictimRelationship,Nudity","Song Hye Kyo,Lee Do Hyun,Im Ji Yeon,Yeom Hye Ran,Park Sung Hoon,Jung Sung Il,",,https://mydramalist.com//745581-the-glory-season-2
745581,The Glory Part 2 (2023), 8,"Moon Dong Eun's silent fury against those students that horrifically abused her during her high school years continues to burn inside of her. She meticulously executes her plan to inflict ultimate pain on her tormentors. Meanwhile, the sudden disappearance of Son Myeong Oh has gotten the attention of the police and his friends. Joo Yeo Jeong follows Moon Dong Eun and is willing to do anything she asks in her pursuit of"," 9.0 (scored by 39,661 users)",, 55 min.,"Thriller,Drama,Melodrama","Revenge,GraphicViolence,BriefNudity,Suspense,StrongFemaleLead,DomesticViolence,Trauma,FamilyAbuse,Perpetrator-VictimRelationship,Nudity","Song Hye Kyo,Lee Do Hyun,Im Ji Yeon,Yeom Hye Ran,Park Sung Hoon,Jung Sung Il,",,https://mydramalist.com/745581-the-glory-season-2
35729,Crash Landing on You (2019), 16,"After getting into a paragliding accident, South Korean heiress Yoon Se Ri crash lands in North Korea. There, she meets North Korean army officer Ri Jung Hyuk, who agrees to help her return to South Korea. Despite the tension between their countries, the two of them start falling for one another.

(Source: queen of repressed rage at MyDramaList)"," 9.0 (scored by 99,497 users)",, 1 hr. 25 min.,"Military,Comedy,Romance,Political","NorthAndSouthKorea,SoldierMaleLead,Army,StrongMaleLead,RichFemaleLead,SoldierSupportingCharacter,IntercountryRomance,Fate,NiceMaleLead,ArmyCaptainMaleLead","Hyun Bin,Son Ye Jin,Seo Ji Hye,Kim Jung Hyun,","Yang Kyung Won,Lee Shin Young,",https://mydramalist.com//35729-emergency-lands-of-love
35729,Crash Landing on You (2019), 16,"After getting into a paragliding accident, South Korean heiress Yoon Se Ri crash lands in North Korea. There, she meets North Korean army officer Ri Jung Hyuk, who agrees to help her return to South Korea. Despite the tension between their countries, the two of them start falling for one another.

(Source: queen of repressed rage at MyDramaList)"," 9.0 (scored by 99,497 users)",, 1 hr. 25 min.,"Military,Comedy,Romance,Political","NorthAndSouthKorea,SoldierMaleLead,Army,StrongMaleLead,RichFemaleLead,SoldierSupportingCharacter,IntercountryRomance,Fate,NiceMaleLead,ArmyCaptainMaleLead","Hyun Bin,Son Ye Jin,Seo Ji Hye,Kim Jung Hyun,","Yang Kyung Won,Lee Shin Young,",https://mydramalist.com/35729-emergency-lands-of-love
711113,Dr. Romantic Season 3 (2023), 16,"At Doldam Hospital, Dr. Kim Sa Bu and his team are committed to saving lives. After three years, a state-of-the-art trauma centre is set to open, equipped with the latest in medical technology.

Prior to the centre's official opening, however, a crisis unfolds on a North Korean ship that's drifted into South Korean waters. Doctors from Doldam Hospital fly out to help the critically injured aboard the ship. However, the patients need"," 9.0 (scored by 9,631 users)",, 1 hr. 10 min.,"Romance,Drama,Medical","HospitalSetting,Teamwork,GeniusMaleLead,SurgeonMaleLead,NeurosurgeonMaleLead,HospitalDirectorMaleLead,DoctorFemaleLead,DoctorMaleLead,HardworkingMaleLead,HardworkingFemaleLead","Han Seok Kyu,Lee Sung Kyung,Ahn Hyo Seop,Kim Joo Heon,","So Ju Yeon,Jin Kyung,",https://mydramalist.com//711113-dr-romantic-3
711113,Dr. Romantic Season 3 (2023), 16,"At Doldam Hospital, Dr. Kim Sa Bu and his team are committed to saving lives. After three years, a state-of-the-art trauma centre is set to open, equipped with the latest in medical technology.

Prior to the centre's official opening, however, a crisis unfolds on a North Korean ship that's drifted into South Korean waters. Doctors from Doldam Hospital fly out to help the critically injured aboard the ship. However, the patients need"," 9.0 (scored by 9,631 users)",, 1 hr. 10 min.,"Romance,Drama,Medical","HospitalSetting,Teamwork,GeniusMaleLead,SurgeonMaleLead,NeurosurgeonMaleLead,HospitalDirectorMaleLead,DoctorFemaleLead,DoctorMaleLead,HardworkingMaleLead,HardworkingFemaleLead","Han Seok Kyu,Lee Sung Kyung,Ahn Hyo Seop,Kim Joo Heon,","So Ju Yeon,Jin Kyung,",https://mydramalist.com/711113-dr-romantic-3
22624,Prison Playbook (2017), 16,"Kim Je Hyuk, a famous baseball player, is arrested after using excessive force while chasing a man trying to sexually assault his sister. Shockingly to him and the rest of the nation, he is sentenced to a year in prison. There, he meets his childhood friend and fellow baseball player, Lee Joon Ho, who gave up on baseball after a car accident, but now is a prison guard and one of Je"," 9.0 (scored by 27,965 users)",, 1 hr. 32 min.,"Comedy,Crime,Life,Drama","PrisonSetting,LifeLesson,Bromance,WrongfullyAccused,StrongMaleLead,SlightRomance,CharacterDevelopment,Murder,BestFriends'Relationship,BlackComedy","Park Hae Soo,Jung Kyung Ho,","Krystal Jung,Im Hwa Young,Ye Soo Jung,Kim Kyung Nam,",https://mydramalist.com//22624-wise-prison-life
22624,Prison Playbook (2017), 16,"Kim Je Hyuk, a famous baseball player, is arrested after using excessive force while chasing a man trying to sexually assault his sister. Shockingly to him and the rest of the nation, he is sentenced to a year in prison. There, he meets his childhood friend and fellow baseball player, Lee Joon Ho, who gave up on baseball after a car accident, but now is a prison guard and one of Je"," 9.0 (scored by 27,965 users)",, 1 hr. 32 min.,"Comedy,Crime,Life,Drama","PrisonSetting,LifeLesson,Bromance,WrongfullyAccused,StrongMaleLead,SlightRomance,CharacterDevelopment,Murder,BestFriends'Relationship,BlackComedy","Park Hae Soo,Jung Kyung Ho,","Krystal Jung,Im Hwa Young,Ye Soo Jung,Kim Kyung Nam,",https://mydramalist.com/22624-wise-prison-life
